restaurant, category, stars, featured article count, aggregated score, location
tiger sugar,Bubble Tea,4.0,1,5.0,348A Yonge Street
chick-fil-a,Fast Food,4.5,0,4.5,709 Yonge Street
phat kaphrao,Thai,4.5,0,4.5,3016B Bathurst Street
azkadenya - mezza diner,Middle Eastern,4.5,0,4.5,235 Queen Street West
eat bkk,Thai,4.5,0,4.5,580 Queen Street W
centrale bergham,Burgers,4.5,0,4.5,482 Queen Street W
bubble lee,Bubble Tea,3.5,0,3.5,469 Queen St W
xing fu tang,Bubble Tea,3.5,0,3.5,506 Yonge Street
vicino italian kitchen,Italian,5.0,0,5.0,146 Sumach St
ryus noodle bar,Ramen,4.0,0,4.0,669 Queen Street W
nani’s gelato,Ramen,4.0,0,4.0,669 Queen Street W
bloom,Cafes,4.0,0,4.0,596 Yonge street
bluestone lane,Coffee & Tea,5.0,0,5.0,2 Queen St E
sisters & co,Breakfast & Brunch,4.0,0,4.0,887 Dundas Street West
avelo,Vegan,4.5,1,5.5,51 St Nicholas Street
buono,Italian,4.0,0,4.0,354 Queen Street W
the alley,Bubble Tea,5.0,0,5.0,382 Yonge Street
roselle west,Desserts,4.5,0,4.5,108 Dovercourt Rd
tru tea 初茶,Bubble Tea,4.0,0,4.0,25 Carlton Street
favorites,Salad,4.0,0,4.0,141 Ossington Avenue
cass avenue,Cocktail Bars,4.5,0,4.5,150 Eglinton Avenue E
boat king of thai noodles,Thai,3.0,0,3.0,770 Bay Street
meet fresh,Shaved Snow,4.0,0,4.0,333 Spadina Avenue
bao,Chinese,3.0,1,4.0,2-270 Spadina Avenue
l’arc en ciel,Desserts,4.5,0,4.5,376 College Street
avling kitchen & brewery,Brewpubs,4.0,0,4.0,1042 Queen Street E
mascot brewery patio,Breweries,4.0,0,4.0,220 KING STREET WEST
hiwa,Chinese,4.0,1,5.0,64 Edward St
kung fu tea,Bubble Tea,4.5,0,4.5,633 Bloor St W
li bu gou,Chinese,4.0,0,4.0,10 Willison Square
par-tee putt,Golf,3.0,0,3.0,26 Duncan Street
san coffee room,Coffee & Tea,5.0,0,5.0,135 Ossington Avenue
the fourth man in the fire,Pizza,3.5,0,3.5,832 Dundas Street W
bar poet,Bars,3.0,0,3.0,1090 Queen Street W
gyubee japanese grill - dundas,Japanese,5.0,0,5.0,157 Dundas St W
project glyph,Desserts,5.0,0,5.0,40 Hayden Street
heart clean eats,Coffee & Tea,5.0,0,5.0,113 Fort York Boulevard
les epicuriens,Ice Cream & Frozen Yogurt,4.0,0,4.0,2109 1/2 Yonge Street
the sweet oven,Bakeries,4.0,0,4.0,1911 Queen Street E
higher,Bubble Tea,3.5,0,3.5,493A Dundas St W
gong cha,Bubble Tea,3.0,0,3.0,390 Queen Street West
xango,Latin American,3.5,0,3.5,461 King Street W
est restaurant,Canadian (New),3.0,0,3.0,729 Queen Street E
best istanbul restaurant,Turkish,3.5,0,3.5,235 Augusta Avenue
la diperie,Ice Cream & Frozen Yogurt,3.5,0,3.5,717 Bay St
ronin izakaya,Japanese,3.5,0,3.5,39 Baldwin Street
jollibee,Filipino,3.0,0,3.0,79 Billy Bishop Way
