restaurant, category, stars, location,mention_count
Tiger Sugar,Bubble Tea,4.0,348A Yonge Street,1
Chick-fil-A,Fast Food,4.5,709 Yonge Street,11
Phat Kaphrao,Thai,4.5,3016B Bathurst Street,1
Azkadenya - Mezza Diner,Middle Eastern,4.5,235 Queen Street West,0
EAT BKK,Thai,4.5,580 Queen Street W,0
Centrale Bergham,Burgers,4.5,482 Queen Street W,0
Bubble Lee,Bubble Tea,3.5,469 Queen St W,1
Xing Fu Tang,Bubble Tea,3.5,506 Yonge Street,0
Vicino Italian Kitchen,Italian,5.0,146 Sumach St,1
RYUS Noodle Bar,Ramen,4.0,669 Queen Street W,0
Nani’s Gelato,Ramen,4.0,669 Queen Street W,0
Bloom,Cafes,4.0,596 Yonge street,2
Bluestone Lane,Coffee & Tea,5.0,2 Queen St E,1
Sisters & Co,Breakfast & Brunch,4.0,887 Dundas Street West,1
Avelo,Vegan,4.5,51 St Nicholas Street,1
Buono,Italian,4.0,354 Queen Street W,1
The Alley,Bubble Tea,5.0,382 Yonge Street,1
Roselle West,Desserts,4.5,108 Dovercourt Rd,1
TRU TEA 初茶,Bubble Tea,4.0,25 Carlton Street,0
Favorites,Salad,4.0,141 Ossington Avenue,1
Cass Avenue,Cocktail Bars,4.5,150 Eglinton Avenue E,1
Boat King of Thai Noodles,Thai,3.0,770 Bay Street,1
Meet Fresh,Shaved Snow,4.0,333 Spadina Avenue,0
BAO,Chinese,3.0,2-270 Spadina Avenue,1
L’ARC EN CIEL,Desserts,4.5,376 College Street,0
Avling Kitchen & Brewery,Brewpubs,4.0,1042 Queen Street E,0
Mascot Brewery Patio,Breweries,4.0,220 KING STREET WEST,0
Hiwa,Chinese,4.0,64 Edward St,1
Kung Fu Tea,Bubble Tea,4.5,633 Bloor St W,0
Li Bu Gou,Chinese,4.0,10 Willison Square,0
Par-Tee Putt,Golf,3.0,26 Duncan Street,1
San Coffee Room,Coffee & Tea,5.0,135 Ossington Avenue,1
The Fourth Man in the Fire,Pizza,3.5,832 Dundas Street W,1
Bar Poet,Bars,3.0,1090 Queen Street W,2
Gyubee Japanese Grill - Dundas,Japanese,5.0,157 Dundas St W,0
Project Glyph,Desserts,5.0,40 Hayden Street,2
Heart Clean Eats,Coffee & Tea,5.0,113 Fort York Boulevard,0
Les epicuriens,Ice Cream & Frozen Yogurt,4.0,2109 1/2 Yonge Street,1
The Sweet Oven,Bakeries,4.0,1911 Queen Street E,1
Higher,Bubble Tea,3.5,493A Dundas St W,0
Gong Cha,Bubble Tea,3.0,390 Queen Street West,0
Xango,Latin American,3.5,461 King Street W,1
est Restaurant,Canadian (New),3.0,729 Queen Street E,2
Best istanbul Restaurant,Turkish,3.5,235 Augusta Avenue,0
La Diperie,Ice Cream & Frozen Yogurt,3.5,717 Bay St,0
Ronin Izakaya,Japanese,3.5,39 Baldwin Street,0
Jollibee,Filipino,3.0,79 Billy Bishop Way,4
