restaurant,category,stars,location,mention_count,latitude,longitude
Tiger Sugar,Bubble Tea,4.0,348A Yonge Street,1,43.658036,-79.381941
Chick-fil-A,Fast Food,4.5,709 Yonge Street,11,43.669547,-79.386144
Phat Kaphrao,Thai,4.5,3016B Bathurst Street,1,43.717842,-79.429744
Azkadenya - Mezza Diner,Middle Eastern,4.5,235 Queen Street West,0,43.650249,-79.388288
EAT BKK,Thai,4.5,580 Queen Street W,0,,
Centrale Bergham,Burgers,4.5,482 Queen Street W,0,43.648076,-79.400431
Bubble Lee,Bubble Tea,3.5,469 Queen St W,1,43.648319,-79.397478
Xing Fu Tang,Bubble Tea,3.5,506 Yonge Street,0,43.663343,-79.384151
Vicino Italian Kitchen,Italian,5.0,146 Sumach St,1,,-79.359940
RYUS Noodle Bar,Ramen,4.0,669 Queen Street W,0,43.646872,-79.404608
Nani’s Gelato,Ramen,4.0,669 Queen Street W,0,,
Bloom,Cafes,4.0,596 Yonge street,2,43.665505,-79.385056
Bluestone Lane,Coffee & Tea,5.0,2 Queen St E,1,,
Sisters & Co,Breakfast & Brunch,4.0,887 Dundas Street West,1,43.650980,-79.411762
Avelo,Vegan,4.5,51 St Nicholas Street,1,43.667066,-79.386168
Buono,Italian,4.0,354 Queen Street W,1,43.649256,-79.395492
The Alley,Bubble Tea,5.0,382 Yonge Street,1,43.659289,-79.382993
Roselle West,Desserts,4.5,108 Dovercourt Rd,1,43.643748,-79.422637
TRU TEA 初茶,Bubble Tea,4.0,25 Carlton Street,0,43.661088,-79.382001
Favorites,Salad,4.0,141 Ossington Avenue,1,43.647439,-79.419720
Cass Avenue,Cocktail Bars,4.5,150 Eglinton Avenue E,1,43.707894,-79.394025
Boat King of Thai Noodles,Thai,3.0,770 Bay Street,1,43.660101,-79.386004
Meet Fresh,Shaved Snow,4.0,333 Spadina Avenue,0,43.654758,-79.398282
BAO,Chinese,3.0,2-270 Spadina Avenue,1,43.652341,-79.398195
L’ARC EN CIEL,Desserts,4.5,376 College Street,0,43.657320,-79.405024
Avling Kitchen & Brewery,Brewpubs,4.0,1042 Queen Street E,0,43.661752,-79.338275
Mascot Brewery Patio,Breweries,4.0,220 KING STREET WEST,0,43.647468,-79.387134
Hiwa,Chinese,4.0,64 Edward St,1,43.656726,-79.383707
Kung Fu Tea,Bubble Tea,4.5,633 Bloor St W,0,43.664262,-79.414507
Li Bu Gou,Chinese,4.0,10 Willison Square,0,43.652259,-79.398366
Par-Tee Putt,Golf,3.0,26 Duncan Street,1,43.648597,-79.389128
San Coffee Room,Coffee & Tea,5.0,135 Ossington Avenue,1,43.647264,-79.419629
The Fourth Man in the Fire,Pizza,3.5,832 Dundas Street W,1,43.651741,-79.409571
Bar Poet,Bars,3.0,1090 Queen Street W,2,43.643746,-79.422317
Gyubee Japanese Grill - Dundas,Japanese,5.0,157 Dundas St W,0,43.655163,-79.385658
Project Glyph,Desserts,5.0,40 Hayden Street,2,43.669967,-79.384594
Heart Clean Eats,Coffee & Tea,5.0,113 Fort York Boulevard,0,43.639069,-79.398169
Les epicuriens,Ice Cream & Frozen Yogurt,4.0,2109 1/2 Yonge Street,1,43.703314,-79.397331
The Sweet Oven,Bakeries,4.0,1911 Queen Street E,1,43.668885,-79.304465
Higher,Bubble Tea,3.5,493A Dundas St W,0,43.652864,-79.397544
Gong Cha,Bubble Tea,3.0,390 Queen Street West,0,43.648817,-79.396931
Xango,Latin American,3.5,461 King Street W,1,43.644927,-79.396327
est Restaurant,Canadian (New),3.0,729 Queen Street E,2,43.658909,-79.348988
Best istanbul Restaurant,Turkish,3.5,235 Augusta Avenue,0,43.654618,-79.401869
La Diperie,Ice Cream & Frozen Yogurt,3.5,717 Bay St,0,43.659556,-79.384837
Ronin Izakaya,Japanese,3.5,39 Baldwin Street,0,43.655827,-79.393590
Jollibee,Filipino,3.0,79 Billy Bishop Way,4,43.732982,-79.452232
