restaurant,category,stars,location
Tiger Sugar,Bubble Tea,4,348A Yonge Street
Chick-fil-A,Fast Food,4.5,709 Yonge Street
Phat Kaphrao,Thai,4.5,3016B Bathurst Street
Azkadenya - Mezza Diner,Middle Eastern,4.5,235 Queen Street West
EAT BKK,Thai,4.5,580 Queen Street W
Centrale Bergham,Burgers,4.5,482 Queen Street W
Bubble Lee,Bubble Tea,3.5,469 Queen St W
Xing Fu Tang,Bubble Tea,3.5,506 Yonge Street
Vicino Italian Kitchen,Italian,5,146 Sumach St
RYUS Noodle Bar,Ramen,4,669 Queen Street W
Nani’s Gelato,Ramen,4,669 Queen Street W
Bloom,Cafes,4,596 Yonge street
Bluestone Lane,Coffee & Tea,5,2 Queen St E
Sisters & Co,Breakfast & Brunch,4,887 Dundas Street West
Avelo,Vegan,4.5,51 St Nicholas Street
Buono,Italian,4,354 Queen Street W
The Alley,Bubble Tea,5,382 Yonge Street
Roselle West,Desserts,4.5,108 Dovercourt Rd
TRU TEA 初茶,Bubble Tea,4,25 Carlton Street
Favorites,Salad,4,141 Ossington Avenue
Cass Avenue,Cocktail Bars,4.5,150 Eglinton Avenue E
Boat King of Thai Noodles,Thai,3,770 Bay Street
Meet Fresh,Shaved Snow,4,333 Spadina Avenue
BAO,Chinese,3,2-270 Spadina Avenue
L’ARC EN CIEL,Desserts,4.5,376 College Street
Avling Kitchen & Brewery,Brewpubs,4,1042 Queen Street E
Mascot Brewery Patio,Breweries,4,220 KING STREET WEST
Hiwa,Chinese,4,64 Edward St
Kung Fu Tea,Bubble Tea,4.5,633 Bloor St W
Li Bu Gou,Chinese,4,10 Willison Square
Par-Tee Putt,Golf,3,26 Duncan Street
San Coffee Room,Coffee & Tea,5,135 Ossington Avenue
The Fourth Man in the Fire,Pizza,3.5,832 Dundas Street W
Bar Poet,Bars,3,1090 Queen Street W
Gyubee Japanese Grill - Dundas,Japanese,5,157 Dundas St W
Project Glyph,Desserts,5,40 Hayden Street
Heart Clean Eats,Coffee & Tea,5,113 Fort York Boulevard
Les epicuriens,Ice Cream & Frozen Yogurt,4,2109 1/2 Yonge Street
The Sweet Oven,Bakeries,4,1911 Queen Street E
Higher,Bubble Tea,3.5,493A Dundas St W
Gong Cha,Bubble Tea,3,390 Queen Street West
Xango,Latin American,3.5,461 King Street W
est Restaurant,Canadian (New),3,729 Queen Street E
Best istanbul Restaurant,Turkish,3.5,235 Augusta Avenue
La Diperie,Ice Cream & Frozen Yogurt,3.5,717 Bay St
Ronin Izakaya,Japanese,3.5,39 Baldwin Street
Jollibee,Filipino,3,79 Billy Bishop Way
