,term_stn_pos,tfidf_stn_pos,counts_stn_pos,term_stn_neu,tfidf_stn_neu,counts_stn_neu,term_stn_neg,tfidf_stn_neg,counts_stn_neg
0,union station,0.09170524805441169,364,union station,0.08114602600615319,1225,union station,0.07339572643909856,215
1,kitchener line,0.035359224109771,151,kitchener line,0.029524847718778613,418,kitchener line,0.04671682127548106,118
2,leslie woo,0.024703140733100547,106,eglinton crosstown,0.021903936663255203,364,presto card,0.026646729537922978,68
3,eglinton crosstown,0.02094504253053368,78,presto card,0.021103070504305092,310,rush hour,0.018803778075117402,52
4,presto card,0.019269635042483642,75,barrie line,0.01389075958065697,197,barrie line,0.018718995486942076,47
5,barrie line,0.018375074322763765,67,lakeshore west,0.013809699288404819,207,lakeshore east,0.018511121098234832,47
6,mount pleasant,0.016986494187503903,74,milton line,0.013211428773057966,189,milton line,0.01812247484805203,46
7,good morning,0.013414437052231654,51,lakeshore east,0.012545985780895077,186,en raison,0.012836364243795164,83
8,relief line,0.013007768875699217,54,rush hour,0.011774058124305094,180,la gare,0.01023952111603244,92
9,rush hour,0.011242735513497758,46,finch west,0.011329069107906858,159,de minutes,0.009375992121041826,74
10,finch west,0.011193111393071012,43,parking lot,0.009281336331363185,139,retard de,0.00753739953002069,59
11,customer service,0.011039107719927659,47,stouffville line,0.007650347031860712,106,retard de minutes,0.006832806193950626,56
12,milton line,0.010732820171687082,41,leslie woo,0.0069116865342726775,94,en retard,0.006689633634692388,55
13,service kitchener,0.00904414667679863,39,crosstown lrt,0.0066592595370100925,144,est en,0.006643687591050248,54
14,parking lot,0.009027812329554425,34,burlington station,0.006533208334826888,92,en retard de,0.006550538529648272,54
15,looks like,0.008954842964998924,34,york university,0.00616236870327982,90,est en retard,0.006519535894931803,53
16,lakeshore west,0.008790225698789678,37,regular service,0.005631681429859292,127,de curit,0.005425496158997368,42
17,port credit,0.0087010174117183,41,eglinton crosstown lrt,0.005456428954748501,123,de curit de,0.0051961843377351085,41
18,cpo leslie,0.006061802185984643,35,service resumed,0.005154240164901446,120,gare union,0.004901946716724472,45
19,cpo leslie woo,0.006061802185984643,35,regular service resumed,0.0048591372706207215,114,la gare union,0.004901946716724472,45
