,term_presto,tfidf_presto,counts_presto,term_ttc,tfidf_ttc,counts_ttc,term_station,tfidf_station,counts_station,term_go,tfidf_go,counts_go
0,presto card,0.26167304714567025,4866,presto card,0.059690120670985176,1248,union station,0.08274567196199965,1804,union station,0.025932931328461768,257
1,presto cards,0.02416218439982946,401,upwarp caused,0.0259350551923697,484,kitchener line,0.03339523996125049,687,kitchener line,0.014084326594451023,130
2,customer service,0.017341003219703385,294,topoli onpoli,0.0179023384564166,343,presto card,0.021367561108276763,452,presto card,0.013650206557471303,131
3,monthly pass,0.01707571323806799,321,onpoli topoli,0.015935755396391603,472,eglinton crosstown,0.019315475960139394,467,lakeshore east,0.013578842169458701,126
4,use presto,0.015231782226614369,262,ttchelps prestocard,0.01175684722286028,228,barrie line,0.015310968382381381,311,ride free,0.011820717839242857,139
5,ttchelps prestocard,0.014022978270096614,228,subway station,0.010593383620291944,215,milton line,0.013327809835275976,276,lakeshore west,0.011629384447888282,111
6,oc transpo,0.01397417193351423,234,prestocard ttchelps,0.009720334689209058,192,lakeshore west,0.012708567582563664,274,niagara falls,0.010197664429555425,102
7,onpoli topoli,0.012528079809427318,309,monthly pass,0.008934757996754568,195,rush hour,0.012525945244039337,278,wi fi,0.009883979993252703,98
8,tap presto,0.012411248643533476,212,rt bconnolly,0.008795422201155737,343,lakeshore east,0.011486609378488727,245,rush hour,0.009453062076315355,91
9,presto machines,0.0117354742497883,196,fare integration,0.008040631235931324,155,leslie woo,0.010683641132386307,210,barrie line,0.008594974000147535,80
10,prestocard ttchelps,0.011392064708526968,192,union station,0.007935357368116716,174,parking lot,0.009303593228932953,200,trains buses,0.007989711957639414,82
11,credit card,0.011225490445655541,198,relief line,0.007667036991008974,159,finch west,0.008749412668600257,219,two way,0.007049712467445322,70
12,new card,0.010345009697303776,203,pas cher,0.006805272746758106,127,stouffville line,0.007513084000400507,151,via rail,0.006990966518813414,66
13,card readers,0.010090088292455156,171,subway stations,0.006617266766571714,129,customer service,0.006761597092726951,146,york university,0.006414194361456037,58
14,lost presto,0.010057781682954237,172,dougford pcpo,0.0057108591705434366,168,regular service,0.006500964053931884,130,customer service,0.006172262592441491,57
15,new presto,0.009999455802006164,173,scarborough scarbto,0.00525523359797894,194,burlington station,0.0063131305612584825,128,richmond hill,0.006051166764811925,55
16,rt bconnolly,0.009278599743674025,268,rt bconnolly onpoli,0.004621621417357669,202,good morning,0.006205213334102831,128,day service,0.006039657655194222,66
17,scarborough scarbto,0.006101311153172525,168,bconnolly onpoli,0.004621621417357669,202,crosstown lrt,0.006048412380887679,189,kids ride,0.005548376406036755,77
18,rt bconnolly onpoli,0.005399060383033598,168,eglintoncrosstown finchwest,0.0041321604277546106,168,eglinton crosstown lrt,0.0050761391263595195,165,kids ride free,0.0048206317229285795,70
19,bconnolly onpoli,0.005399060383033598,168,bconnolly onpoli topoli,0.0037048851050225165,163,west lrt,0.004693936139042566,125,la gare,0.004352933192692004,85
